"Timestamp","Roll_No","Gender","Platform","Category","Priority","Frequency","Peer_Influence","Returns","Monthly_Spend","Discount_Importance","Payment_Method","Recommendation_Helpfulness","Timestamp_Clean"
"2025/08/31 12:29:07 am","102315148","Female","Amazon","Fashion","Balanced (both brand and cost)","Only during festive periods","Sometimes","Yes, due to size/fit issue","₹0–₹1,000","High importance","UPI","Somewhat helpful",2025-08-31 00:29:07
"2025/08/31 9:42:19 am","6264","Female","Amazon","Fashion","Balanced (both brand and cost)","Monthly","Sometimes","Yes, due to size/fit issue","₹0–₹1,000","High importance","UPI","Somewhat helpful",2025-08-31 09:42:19
"2025/08/31 9:43:01 am",NA,"Female","Myntra","Fashion","Depends on product category","Rarely","Rarely","Yes, due to size/fit issue","₹0–₹1,000","High importance","UPI","Very helpful",2025-08-31 09:43:01
"2025/08/31 9:44:40 am",NA,"Female","Amazon","Fashion","Balanced (both brand and cost)","Only during festive periods","Sometimes","Yes, due to size/fit issue","₹0–₹1,000","High importance","Card (Debit/Credit)","Neutral",2025-08-31 09:44:40
"2025/08/31 11:27:51 am","250018","Female","Myntra","Fashion","Depends on product category","Monthly","Sometimes","Yes, due to size/fit issue","₹0–₹1,000","High importance","UPI","Somewhat helpful",2025-08-31 11:27:51
"2025/08/31 12:10:42 pm","24/BD/21","Female","Amazon","Books/Stationary","Balanced (both brand and cost)","Monthly","Rarely","Yes, due to defective/damaged product","₹3,000–₹5,000","Medium importance","Cash on delivery (COD)","Somewhat helpful",2025-08-31 12:10:42
"2025/08/31 12:23:09 pm",NA,"Female","Amazon","Electronics/Gadgets","Depends on product category","Rarely","Sometimes","Yes, due to defective/damaged product","₹3,000–₹5,000","Low importance","Cash on delivery (COD)","Somewhat helpful",2025-08-31 12:23:09
"2025/08/31 12:24:56 pm","3376803123","Male","Myntra","Fashion","Balanced (both brand and cost)","Weekly","Rarely","Yes, due to size/fit issue","₹0–₹1,000","High importance","UPI","Somewhat helpful",2025-08-31 12:24:56
"2025/08/31 12:25:26 pm","23110064","Female","Myntra","Fashion","Balanced (both brand and cost)","Rarely","Rarely","Yes, due to size/fit issue","₹0–₹1,000","High importance","UPI","Very helpful",2025-08-31 12:25:26
"2025/08/31 12:27:32 pm","143","Male","Amazon","Electronics/Gadgets","Balanced (both brand and cost)","Only during festive periods","Sometimes","Yes, due to defective/damaged product","₹0–₹1,000","High importance","UPI","Very helpful",2025-08-31 12:27:32
"2025/08/31 12:28:33 pm","23117023","Female","Flipkart","Fashion","Cost- focused","Monthly","Yes, often","Yes, due to size/fit issue","₹1,000–₹3,000","Medium importance","UPI","Very helpful",2025-08-31 12:28:33
"2025/08/31 12:41:06 pm","get in contact i am interested in the project","Male","Amazon","Electronics/Gadgets","Brand- focused","Monthly","Rarely","Yes, due to defective/damaged product","₹0–₹1,000","Medium importance","UPI","Very helpful",2025-08-31 12:41:06
"2025/08/31 12:45:26 pm","23110037","Female","Myntra","Fashion","Balanced (both brand and cost)","Rarely","Yes, often","Yes, due to size/fit issue","₹1,000–₹3,000","High importance","Cash on delivery (COD)","Somewhat helpful",2025-08-31 12:45:26
"2025/08/31 12:49:07 pm","202","Female","Savana, h and m, zara","Fashion","Balanced (both brand and cost)","Monthly","Yes, often","Yes, due to size/fit issue","₹3,000–₹5,000","High importance","Cash on delivery (COD)","Somewhat helpful",2025-08-31 12:49:07
"2025/08/31 12:52:22 pm","23117040","Male","Flipkart","Electronics/Gadgets","Balanced (both brand and cost)","Weekly","Sometimes","Yes, due to defective/damaged product","₹0–₹1,000","Medium importance","Cash on delivery (COD)","Very helpful",2025-08-31 12:52:22
"2025/08/31 12:57:58 pm",NA,"Female","Amazon","Fashion","Balanced (both brand and cost)","Only during festive periods","Yes, often","Yes, due to defective/damaged product","₹0–₹1,000","High importance","Cash on delivery (COD)","Very helpful",2025-08-31 12:57:58
"2025/08/31 1:09:16 pm","251","Female","Amazon","Fashion","Balanced (both brand and cost)","Weekly","Yes, often","Yes, due to size/fit issue","₹0–₹1,000","High importance","UPI","Very helpful",2025-08-31 13:09:16
"2025/08/31 1:23:47 pm",NA,"Female","Amazon","Electronics/Gadgets","Depends on product category","Monthly","Rarely","Yes, due to defective/damaged product","₹3,000–₹5,000","High importance","UPI","Somewhat helpful",2025-08-31 13:23:47
"2025/08/31 1:27:03 pm","23110036","Female","Myntra","Fashion","Balanced (both brand and cost)","Monthly","Yes, often","Yes, due to size/fit issue","₹0–₹1,000","Medium importance","UPI","Very helpful",2025-08-31 13:27:03
"2025/08/31 2:15:41 pm","2023051163","Female","Amazon","Electronics/Gadgets","Brand- focused","Monthly","Yes, often","Yes, due to defective/damaged product","₹0–₹1,000","High importance","UPI","Very helpful",2025-08-31 14:15:41
"2025/08/31 2:19:22 pm",NA,"Male","Flipkart","Fashion","Balanced (both brand and cost)","Monthly","Sometimes","No","₹3,000–₹5,000","Medium importance","UPI","Very helpful",2025-08-31 14:19:22
"2025/08/31 2:35:26 pm","95364791","Male","Flipkart","Electronics/Gadgets","Balanced (both brand and cost)","Weekly","Sometimes","Yes, due to size/fit issue","₹0–₹1,000","Low importance","Cash on delivery (COD)","Very helpful",2025-08-31 14:35:26
"2025/08/31 2:47:11 pm","23106070","Female","Meesho","Fashion","Balanced (both brand and cost)","Weekly","Yes, often","Yes, due to size/fit issue","₹0–₹1,000","High importance","UPI","Very helpful",2025-08-31 14:47:11
"2025/08/31 2:55:41 pm","23109014","Female","Amazon","Food/Essentials","Depends on product category","Monthly","Sometimes","No","₹0–₹1,000","High importance","UPI","Somewhat helpful",2025-08-31 14:55:41
"2025/08/31 3:23:06 pm","23103134","Female","Myntra","Fashion","Balanced (both brand and cost)","Monthly","Sometimes","Yes, due to size/fit issue","₹3,000–₹5,000","Medium importance","UPI","Somewhat helpful",2025-08-31 15:23:06
"2025/08/31 3:38:00 pm",NA,"Female","Meesho","Fashion","Depends on product category","Monthly","Rarely","Yes, due to size/fit issue","₹0–₹1,000","Medium importance","Cash on delivery (COD)","Very helpful",2025-08-31 15:38:00
"2025/08/31 4:43:46 pm","23103162","Male","Amazon","Electronics/Gadgets","Brand- focused","Only during festive periods","Sometimes","Yes, due to defective/damaged product","₹3,000–₹5,000","Medium importance","UPI","Neutral",2025-08-31 16:43:46
"2025/08/31 4:45:39 pm","74","Male","Flipkart","Fashion","Depends on product category","Monthly","Sometimes","Yes, due to change of mind","₹0–₹1,000","Medium importance","Cash on delivery (COD)","Not helpful",2025-08-31 16:45:39
"2025/08/31 4:46:32 pm","23103103","Male","Flipkart","Fashion","Balanced (both brand and cost)","Rarely","Yes, often","No","₹0–₹1,000","High importance","Cash on delivery (COD)","Very helpful",2025-08-31 16:46:32
"2025/08/31 4:46:58 pm","23103127","Male","Flipkart","Electronics/Gadgets","Balanced (both brand and cost)","Rarely","No","Yes, due to size/fit issue","₹0–₹1,000","High importance","UPI","Neutral",2025-08-31 16:46:58
"2025/08/31 4:47:04 pm","23103163","Male","Amazon","Fashion","Brand- focused","Monthly","Sometimes","Yes, due to size/fit issue","₹0–₹1,000","Medium importance","UPI","Neutral",2025-08-31 16:47:04
"2025/08/31 4:48:09 pm","23103153","Male","Flipkart","Electronics/Gadgets","Brand- focused","Monthly","Sometimes","Yes, due to defective/damaged product","₹1,000–₹3,000","Medium importance","Cash on delivery (COD)","Very helpful",2025-08-31 16:48:09
"2025/08/31 5:03:58 pm","23102091","Female","Myntra","Fashion","Balanced (both brand and cost)","Rarely","Sometimes","Yes, due to size/fit issue","₹0–₹1,000","Medium importance","UPI","Somewhat helpful",2025-08-31 17:03:58
"2025/08/31 6:05:27 pm","Na","Male","Flipkart","Electronics/Gadgets","Balanced (both brand and cost)","Weekly","Sometimes","Yes, due to size/fit issue","₹3,000–₹5,000","Low importance","Card (Debit/Credit)","Somewhat helpful",2025-08-31 18:05:27
"2025/08/31 6:11:56 pm","23103157","Female","Amazon","Food/Essentials","Balanced (both brand and cost)","Monthly","Sometimes","Yes, due to defective/damaged product","₹0–₹1,000","Medium importance","UPI","Somewhat helpful",2025-08-31 18:11:56
"2025/08/31 6:50:31 pm","23103146","Female","Amazon","Electronics/Gadgets","Balanced (both brand and cost)","Monthly","Sometimes","Yes, due to defective/damaged product","₹3,000–₹5,000","High importance","UPI","Very helpful",2025-08-31 18:50:31
"2025/08/31 7:16:39 pm","23103143","Male","Flipkart","Electronics/Gadgets","Cost- focused","Rarely","No","No","₹0–₹1,000","Medium importance","UPI","Not helpful",2025-08-31 19:16:39
"2025/08/31 7:28:48 pm","24301573","Male","Flipkart","Fashion","Balanced (both brand and cost)","Monthly","Sometimes","Yes, due to change of mind","₹3,000–₹5,000","Medium importance","Cash on delivery (COD)","Neutral",2025-08-31 19:28:48
"2025/08/31 9:22:30 pm","23103102","Female","Flipkart","Fashion","Balanced (both brand and cost)","Monthly","No","Yes, due to size/fit issue","₹0–₹1,000","Medium importance","UPI","Neutral",2025-08-31 21:22:30
"2025/08/31 10:28:07 pm","62621762","Not Comfortable","Not Comfortable","Not Comfortable","Depends on product category","Only during festive periods","No","No","₹3,000–₹5,000","Not important","Cash on delivery (COD)","Somewhat helpful",2025-08-31 22:28:07
"2025/08/31 11:25:00 pm",NA,"Female","Amazon","Books/Stationary","Balanced (both brand and cost)","Monthly","Yes, often","No","₹3,000–₹5,000","Medium importance","UPI","Somewhat helpful",2025-08-31 23:25:00
"2025/09/01 7:46:57 pm","23124085","Male","Amazon","Fashion","Brand- focused","Rarely","Yes, often","Yes, due to change of mind","₹0–₹1,000","High importance","UPI","Very helpful",2025-09-01 19:46:57
"2025/09/01 7:49:01 pm","23124127","Female","Meesho","Fashion","Balanced (both brand and cost)","Monthly","Yes, often","Yes, due to defective/damaged product","₹1,000–₹3,000","High importance","UPI","Very helpful",2025-09-01 19:49:01
"2025/09/02 8:48:25 am",NA,"Female","Flipkart","Books/Stationary","Depends on product category","Monthly","Yes, often","Yes, due to defective/damaged product","₹3,000–₹5,000","Medium importance","Cash on delivery (COD)","Very helpful",2025-09-02 08:48:25
"2025/09/02 12:41:07 pm","123456","Female","Flipkart","Books/Stationary","Depends on product category","Weekly","Yes, often","No","₹0–₹1,000","Low importance","Cash on delivery (COD)","Not helpful",2025-09-02 12:41:07
"2025/09/02 12:42:21 pm","1233","Female","Flipkart","Food/Essentials","Cost- focused","Monthly","Yes, often","Yes, due to change of mind","₹0–₹1,000","Medium importance","Cash on delivery (COD)","Very helpful",2025-09-02 12:42:21
"2025/09/05 1:38:54 pm",NA,"Male","Meesho","Books/Stationary","Brand- focused","Monthly","Rarely","Yes, due to defective/damaged product","₹3,000–₹5,000","High importance","UPI","Very helpful",2025-09-05 13:38:54
"2025/09/12 4:28:35 pm","23117036","Female","Amazon","Food/Essentials","Balanced (both brand and cost)","Monthly","Rarely","Yes, due to defective/damaged product","₹3,000–₹5,000","Low importance","Cash on delivery (COD)","Very helpful",2025-09-12 16:28:35
"2025/09/16 2:27:35 pm","23117032","Female","Flipkart","Fashion","Balanced (both brand and cost)","Monthly","Yes, often","Yes, due to defective/damaged product","₹3,000–₹5,000","High importance","UPI","Very helpful",2025-09-16 14:27:35
"2025/09/16 2:41:44 pm","23117022","Male","Amazon","Electronics/Gadgets","Balanced (both brand and cost)","Only during festive periods","Rarely","Yes, due to change of mind","₹0–₹1,000","High importance","UPI","Somewhat helpful",2025-09-16 14:41:44
"2025/09/16 2:42:32 pm","23117079","Male","Amazon","Electronics/Gadgets","Balanced (both brand and cost)","Rarely","Rarely","Yes, due to defective/damaged product","₹3,000–₹5,000","Medium importance","UPI","Somewhat helpful",2025-09-16 14:42:32
"2025/09/16 2:42:50 pm","23126003","Male","Amazon","Books/Stationary","Balanced (both brand and cost)","Weekly",NA,"Yes, due to defective/damaged product","₹0–₹1,000","High importance","UPI","Neutral",2025-09-16 14:42:50
"2025/09/16 2:49:08 pm","23117039","Male","Flipkart","Fashion","Balanced (both brand and cost)","Monthly","No","Yes, due to defective/damaged product","₹0–₹1,000","High importance","UPI","Neutral",2025-09-16 14:49:08
"2025/09/16 2:49:30 pm","23117042","Male","Meesho","Electronics/Gadgets","Brand- focused","Monthly","No","Yes, due to size/fit issue","₹0–₹1,000","Medium importance","UPI","Very helpful",2025-09-16 14:49:30
"2025/09/16 3:02:34 pm","23103157","Female","Amazon","Fashion","Balanced (both brand and cost)","Rarely","Sometimes","Yes, due to defective/damaged product","₹3,000–₹5,000","Medium importance","UPI","Somewhat helpful",2025-09-16 15:02:34
"2025/09/16 3:32:44 pm","713","Male","Myntra","Fashion","Depends on product category","Rarely","Rarely","Yes, due to size/fit issue","₹0–₹1,000","Medium importance","UPI","Somewhat helpful",2025-09-16 15:32:44
"2025/09/16 3:33:32 pm","2025/0904","Female","Myntra","Fashion","Depends on product category","Monthly","Sometimes","Yes, due to defective/damaged product","₹0–₹1,000","High importance","UPI","Somewhat helpful",2025-09-16 15:33:32
"2025/09/16 3:37:43 pm","0","Female","Meesho","Fashion","Balanced (both brand and cost)","Monthly","Sometimes","Yes, due to size/fit issue","₹0–₹1,000","Medium importance","UPI","Somewhat helpful",2025-09-16 15:37:43
"2025/09/16 3:53:51 pm","98652","Female","Myntra","Fashion","Brand- focused","Monthly","Sometimes","Yes, due to defective/damaged product","₹3,000–₹5,000","High importance","UPI","Very helpful",2025-09-16 15:53:51
"2025/09/16 5:28:02 pm",NA,"Female","Flipkart","Fashion","Cost- focused","Rarely","Rarely","Yes, due to defective/damaged product","₹0–₹1,000","High importance","Cash on delivery (COD)","Somewhat helpful",2025-09-16 17:28:02
"2025/09/16 5:46:09 pm","23117025","Female","Amazon","Books/Stationary","Cost- focused","Monthly","Yes, often","Yes, due to change of mind","₹0–₹1,000","High importance","UPI","Somewhat helpful",2025-09-16 17:46:09
"2025/09/16 6:08:40 pm","13","Female","Myntra","Fashion","Balanced (both brand and cost)","Monthly","Yes, often","Yes, due to size/fit issue","₹0–₹1,000","High importance","UPI","Somewhat helpful",2025-09-16 18:08:40
"2025/09/16 6:33:30 pm","23106070","Female","Meesho","Fashion","Brand- focused","Weekly","Yes, often","Yes, due to size/fit issue","₹0–₹1,000","High importance","UPI","Very helpful",2025-09-16 18:33:30
"2025/09/16 7:08:18 pm","250017","Female","Amazon","Fashion","Balanced (both brand and cost)","Monthly","Yes, often","No","₹3,000–₹5,000","High importance","Cash on delivery (COD)","Very helpful",2025-09-16 19:08:18
"2025/09/17 6:17:19 am","C-2545","Female","Amazon","Fashion","Balanced (both brand and cost)","Only during festive periods","No","Yes, due to defective/damaged product","₹1,000–₹3,000","High importance","Cash on delivery (COD)","Neutral",2025-09-17 06:17:19
"2025/10/06 12:26:34 pm","231770","Male","Flipkart","Fashion","Cost- focused","Weekly","Rarely","Yes, due to size/fit issue","₹0–₹1,000","Low importance","Card (Debit/Credit)","Somewhat helpful",2025-10-06 12:26:34
"2025/10/06 12:27:29 pm","3232114","Not Specified","Meesho","Fashion","Brand- focused","Monthly","Yes, often","Yes, due to change of mind","₹0–₹1,000","Medium importance","Net banking/other","Neutral",2025-10-06 12:27:29
"2025/10/06 12:28:31 pm",NA,"Female","Myntra","Fashion","Brand- focused","Weekly","Yes, often","Yes, due to size/fit issue","₹0–₹1,000","Not important","UPI","Very helpful",2025-10-06 12:28:31
"2025/10/06 12:29:14 pm",NA,"Female","Meesho","Books/Stationary","Cost- focused","Monthly","Rarely","Yes, due to defective/damaged product","₹0–₹1,000","High importance","Cash on delivery (COD)","Very helpful",2025-10-06 12:29:14
"2025/10/06 12:30:16 pm","112","Not Specified","Amazon","Electronics/Gadgets","Balanced (both brand and cost)",NA,"Yes, often","Yes, due to defective/damaged product","₹0–₹1,000","Medium importance","Net banking/other","Neutral",2025-10-06 12:30:16
"2025/10/06 12:31:21 pm",NA,"Male","Amazon","Electronics/Gadgets","Brand- focused","Only during festive periods","Yes, often","Yes, due to defective/damaged product","₹0–₹1,000","Medium importance","Card (Debit/Credit)","Very helpful",2025-10-06 12:31:21
"2025/10/06 12:33:14 pm","23117031","Female","Myntra","Fashion","Brand- focused","Weekly","No","Yes, due to size/fit issue","₹0–₹1,000","Not important","Net banking/other","Neutral",2025-10-06 12:33:14
"2025/10/06 12:34:35 pm",NA,"Not Specified","savana","Fashion","Balanced (both brand and cost)","Weekly","Yes, often","Yes, due to defective/damaged product","₹0–₹1,000","Not important","Card (Debit/Credit)","Somewhat helpful",2025-10-06 12:34:35
"2025/10/06 12:35:32 pm","23309","Male","Amazon","Food/Essentials","Balanced (both brand and cost)","Weekly","Sometimes","No","₹3,000–₹5,000","Not important","UPI","Not helpful",2025-10-06 12:35:32
"2025/10/06 12:37:21 pm","88","Female","Amazon","Food/Essentials","Balanced (both brand and cost)","Monthly","No","No","₹0–₹1,000","Low importance","Cash on delivery (COD)","Somewhat helpful",2025-10-06 12:37:21
"2025/10/06 12:38:32 pm","76","Male","Meesho","decorative items","Cost- focused","Only during festive periods","Yes, often","Yes, due to defective/damaged product","₹0–₹1,000","Medium importance","UPI","Very helpful",2025-10-06 12:38:32
"2025/10/06 5:10:19 pm","23106071","Male","Flipkart","Fashion","Depends on product category","Only during festive periods","Yes, often","Yes, due to defective/damaged product","₹0–₹1,000","High importance","UPI","Neutral",2025-10-06 17:10:19
"2025/10/06 5:12:02 pm","2","Female","Svana ","Fashion","Brand- focused","Monthly","Yes, often","Yes, due to size/fit issue","₹3,000–₹5,000","High importance","UPI","Neutral",2025-10-06 17:12:02
"2025/10/06 5:24:59 pm","23106078","Female","Amazon","Fashion","Balanced (both brand and cost)","Monthly","Sometimes","Yes, due to size/fit issue","₹3,000–₹5,000","High importance","UPI","Very helpful",2025-10-06 17:24:59
"2025/10/06 5:29:18 pm",NA,"Male","Amazon","Electronics/Gadgets","Depends on product category","Rarely","No","Yes, due to defective/damaged product","₹0–₹1,000","High importance","Card (Debit/Credit)","Somewhat helpful",2025-10-06 17:29:18
"2025/10/06 5:30:33 pm",NA,"Female","Meesho","Fashion","Depends on product category","Monthly","Rarely","Yes, due to size/fit issue","₹1,000–₹3,000","High importance","Cash on delivery (COD)","Neutral",2025-10-06 17:30:33
"02-03-2025 10:50","231770","Female","Amazon","Not Comfortable","Balanced (both brand and cost)","Weekly","Sometimes","Yes, due to defective/damaged product","₹1,000–₹3,000","Low importance","Cash on delivery (COD)","Very helpful",2025-03-02 10:50:00
"30-04-2025 10:00","24301573","Female","Svana ","Books/Stationary","Cost- focused","Only during festive periods","Sometimes","Yes, due to defective/damaged product","₹3,000–₹5,000","Not important","UPI","Not helpful",2025-04-30 10:00:00
"18-02-2025 06:43","23117025","Not Comfortable","Not Comfortable","Food/Essentials","Balanced (both brand and cost)","Monthly","Sometimes","Yes, due to change of mind","₹5,000+","Medium importance","Net banking/other","Very helpful",2025-02-18 06:43:00
"02-04-2025 00:12","23103153","Male","Svana ","Books/Stationary","Cost- focused","Weekly","No","Yes, due to defective/damaged product","₹1,000–₹3,000","High importance","UPI","Neutral",2025-04-02 00:12:00
"05-02-2025 16:58","23124085","Male","savana","Food/Essentials","Cost- focused","Only during festive periods","Sometimes","Yes, due to defective/damaged product","₹3,000–₹5,000","High importance","Card (Debit/Credit)","Neutral",2025-02-05 16:58:00
"04-05-2025 02:31","112","Female","Svana ","Electronics/Gadgets","Brand- focused","Only during festive periods","No","Yes, due to size/fit issue","₹5,000+","High importance","Cash on delivery (COD)","Neutral",2025-05-04 02:31:00
"04-07-2025 09:07","23106078","Female","savana","Food/Essentials","Balanced (both brand and cost)","Rarely","Yes, often","Yes, due to size/fit issue","₹0–₹1,000","Not important","UPI","Neutral",2025-07-04 09:07:00
"14-07-2025 08:47","23103153","Male","Savana, h and m, zara","Food/Essentials","Depends on product category","Weekly","Sometimes","Yes, due to defective/damaged product","₹0–₹1,000","Not important","UPI","Very helpful",2025-07-14 08:47:00
"18-12-2024 01:39","112","Not Comfortable","Flipkart","Fashion","Brand- focused","Monthly","Sometimes","Yes, due to change of mind","₹0–₹1,000","Not important","UPI","Somewhat helpful",2024-12-18 01:39:00
"24-04-2025 02:43","143","Not Comfortable","Savana, h and m, zara","Food/Essentials","Cost- focused","Rarely","No","Yes, due to defective/damaged product","₹0–₹1,000","Not important","Cash on delivery (COD)","Somewhat helpful",2025-04-24 02:43:00
"07-12-2024 23:18","23103134","Female","Svana ","Books/Stationary","Cost- focused","Only during festive periods","Rarely","Yes, due to defective/damaged product","₹0–₹1,000","Not important","UPI","Very helpful",2024-12-07 23:18:00
"02-07-2025 20:47","123456","Female","Savana, h and m, zara","decorative items","Brand- focused","Only during festive periods","Rarely","No","₹0–₹1,000","Not important","Net banking/other","Not helpful",2025-07-02 20:47:00
"03-03-2025 16:00","23103103","Not Comfortable","Svana ","Food/Essentials","Depends on product category","Weekly","No","No","₹0–₹1,000","Low importance","Cash on delivery (COD)","Somewhat helpful",2025-03-03 16:00:00
"26-04-2025 07:37","250018","Male","Not Comfortable","Fashion","Depends on product category","Only during festive periods","Sometimes","No","₹0–₹1,000","High importance","Cash on delivery (COD)","Very helpful",2025-04-26 07:37:00
"15-12-2024 12:11","76","Male","savana","Electronics/Gadgets","Balanced (both brand and cost)","Monthly","No","No","₹5,000+","Low importance","Cash on delivery (COD)","Very helpful",2024-12-15 12:11:00
"14-08-2025 14:45","231770","Not Comfortable","Not Comfortable","Not Comfortable","Depends on product category","Rarely","Rarely","Yes, due to change of mind","₹3,000–₹5,000","Low importance","UPI","Neutral",2025-08-14 14:45:00
"23-09-2025 03:45","23117031","Male","Meesho","Not Comfortable","Balanced (both brand and cost)","Only during festive periods","Sometimes","No","₹3,000–₹5,000","Medium importance","Cash on delivery (COD)","Neutral",2025-09-23 03:45:00
